Pass-Simple pass-accurate,Pass-High pass-accurate,Pass-Head pass-accurate,Pass-Simple pass-not accurate,Duel-Air duel-accurate,Duel-Air duel-not accurate,Pass-High pass-not accurate,Pass-Head pass-not accurate,Duel-Ground loose ball duel-not accurate,Duel-Ground attacking duel-accurate,Free Kick-Free Kick-accurate,Pass-Cross-assist,Pass-Cross-accurate,Shot-Shot-accurate,Duel-Ground loose ball duel-accurate,Duel-Ground defending duel-accurate,Others on the ball-Clearance-not accurate,Duel-Ground defending duel-not accurate,Others on the ball-Touch-interception,Duel-Ground attacking duel-not accurate,Others on the ball-Acceleration-accurate,Shot-Shot-not accurate,Free Kick-Corner-accurate,Foul,Free Kick-Throw in-accurate,Free Kick-Throw in-not accurate,Others on the ball-Touch,Pass-Cross-not accurate,Pass-Smart pass-accurate,Pass-Cross-key pass,Pass-Smart pass-not accurate,Free Kick-Corner-not accurate,Others on the ball-Clearance-accurate,Others on the ball-Touch-missed ball,Pass-Simple pass-assist,Pass-Launch-accurate,Pass-Smart pass-key pass,Pass-Simple pass-key pass,Pass-Launch-not accurate,Free Kick-Free Kick-not accurate,Pass-Head pass-assist,Others on the ball-Touch-counter attack,Free Kick-Free kick cross-accurate,Foul-yellow card,Others on the ball-Touch-opportunity,Others on the ball-Touch-feint,Free Kick-Free kick shot-accurate,Pass-High pass-key pass,Free Kick-Free kick shot-not accurate,Pass-Smart pass-assist,Free Kick-Free kick cross-not accurate,Others on the ball-Clearance,Others on the ball-Acceleration-not accurate,Free Kick-Goal kick,Others on the ball-Touch-dangerous ball lost,Foul-red card,Foul-second yellow card,Pass-Head pass-key pass,Free Kick-Penalty,Free Kick-Penalty-not accurate,Pass-High pass-assist,Pass-Hand pass-accurate,w-dl
102,0,-7,-8,15,-15,-3,4,-2,20,-7,0,2,4,2,-16,-6,-9,-4,5,11,10,6,12,8,-1,4,2,1,1,2,4,0,-3,1,0,2,1,6,0,0,1,1,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1
-102,0,7,8,-15,15,3,-4,2,-20,7,0,-2,-4,-2,16,6,9,4,-5,-11,-10,-6,-12,-8,1,-4,-2,-1,0,-2,0,1,3,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,-1
451,2,4,-5,2,-2,-8,3,2,12,1,1,2,4,-2,-9,-2,-8,-7,5,2,8,4,1,1,-1,22,1,3,0,7,0,0,1,1,1,2,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-451,-2,-4,5,-2,2,8,-3,-2,-12,-1,0,-2,-4,2,9,2,8,7,-5,-2,-8,-4,-1,-1,1,-22,-1,0,0,-7,2,7,-1,0,0,0,0,0,1,0,0,-1,-1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,-1
-130,-10,-4,-8,7,-7,-1,-1,6,-19,-2,0,-6,0,-7,2,17,7,22,9,1,-19,0,3,-12,2,-21,-12,0,-1,-6,0,1,1,0,-3,0,0,-1,1,0,0,2,-1,0,1,0,0,0,0,-2,0,0,5,0,0,0,0,0,0,0,0,-1
130,10,4,8,-7,7,1,1,-6,19,2,0,6,2,7,-2,-17,-7,-22,-9,-1,19,10,-3,12,-2,21,12,6,1,6,3,-1,-1,0,3,2,0,1,0,0,0,0,1,0,0,0,0,1,0,2,1,0,0,0,0,0,1,0,0,0,0,-1
-61,3,-4,-7,-4,6,0,-1,0,1,-6,0,3,0,1,-6,9,2,-4,4,-4,-4,-1,5,-1,0,-10,2,-7,1,5,1,-4,-2,0,-2,0,0,0,0,0,-2,3,0,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-1
61,-3,4,7,4,-6,0,1,0,-1,6,0,-3,0,-1,6,-9,-2,4,-4,4,4,1,-5,1,0,10,-2,7,-1,-5,0,4,2,0,2,3,1,0,1,0,2,0,2,1,1,0,1,0,2,2,0,0,0,0,0,0,0,1,0,0,0,-1
-358,3,5,8,-8,8,4,2,0,-16,-9,0,-6,4,0,12,-3,10,3,-7,1,4,4,9,12,4,-22,-5,-2,0,-4,2,5,-3,0,-1,0,0,1,0,0,3,-1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
358,-3,-5,-8,8,-8,-4,-2,0,16,9,0,6,-4,0,-12,3,-10,-3,7,-1,-4,-4,-9,-12,-4,22,5,2,0,4,0,0,3,0,1,0,0,-1,0,0,0,1,-2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,-1
-66,3,-10,-17,4,-4,-1,-5,1,16,-13,0,4,4,4,0,-3,17,2,-7,9,6,-2,6,3,2,6,6,9,3,0,0,0,3,0,2,1,0,3,0,0,4,0,2,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
66,-3,10,17,-4,4,1,5,-1,-16,13,0,-4,-4,-4,0,3,-17,-2,7,0,-6,2,-6,-3,-2,-6,-6,-9,0,0,1,1,0,0,-2,0,0,-3,3,0,0,1,-2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,-1
-224,-7,-6,-5,-11,4,-4,3,5,6,-3,0,-9,0,-9,-15,18,-1,8,0,-1,-11,-2,0,2,5,-31,-10,0,0,0,2,2,6,0,-3,0,0,-2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
224,7,6,5,11,-4,4,-3,-5,-6,3,0,9,0,9,15,-18,1,-8,0,1,11,2,0,-2,-5,31,10,3,2,1,-2,0,-6,0,3,0,0,2,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1
62,-8,6,-10,5,-12,-1,4,-5,-22,4,0,-3,-2,4,14,6,8,5,0,9,-3,4,4,-7,1,14,5,-4,0,-7,0,0,-3,1,2,0,-3,1,0,0,0,0,-1,0,0,0,0,0,0,-1,0,1,0,0,0,0,0,0,0,0,0,1
-62,8,-6,10,-5,12,1,-4,5,22,-4,0,3,2,-4,-14,-6,-8,-5,0,-9,3,-4,-4,7,-1,-14,-5,4,2,7,0,0,3,0,-2,0,3,-1,2,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1
-91,-3,0,7,5,-5,-5,0,-1,7,-1,0,2,2,-1,8,3,-13,-1,-5,2,6,0,-3,-10,5,-2,-3,0,1,0,4,2,2,0,0,0,1,-2,0,0,1,0,1,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1
91,3,0,-7,-5,5,5,0,1,-7,1,0,-2,-2,1,-8,-3,13,1,5,-2,-6,0,3,10,-5,2,3,0,-1,0,0,-2,-2,0,4,0,0,2,2,0,0,0,0,0,0,0,0,0,0,-2,0,0,0,1,0,0,1,0,0,0,0,-1
-391,6,-18,-10,-4,7,-8,3,1,-11,-7,0,-4,-12,-4,-3,16,6,12,-2,0,-7,-2,0,-6,3,-27,-12,-3,0,0,0,3,0,0,0,0,0,7,0,0,0,1,2,0,0,0,0,-1,0,2,0,0,0,0,0,0,0,0,0,0,0,-1
391,-6,18,10,4,-7,8,-3,-1,11,7,0,4,12,4,3,-16,-6,-12,2,2,7,2,0,6,-3,27,12,3,3,17,0,0,0,0,0,0,0,-7,0,0,1,0,-2,0,1,0,0,1,0,-2,0,0,0,0,0,0,0,0,0,0,0,1
231,-7,5,7,17,-15,3,-13,11,32,6,0,7,4,-9,-14,-16,-22,-8,4,1,7,2,-3,2,0,28,7,6,1,5,4,0,7,0,2,2,5,-4,0,0,0,-1,-1,0,1,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1
-231,7,-5,-7,-17,15,-3,13,-11,-32,-6,1,-7,-4,9,14,16,22,8,-4,-1,-7,-2,3,-2,0,-28,-7,0,0,-5,0,1,-7,0,-2,0,0,4,0,0,4,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1
467,9,4,11,-4,4,9,1,3,15,4,0,11,2,0,-7,-12,-16,-17,0,3,7,6,5,13,0,37,10,3,1,11,1,0,0,0,-1,2,0,0,0,0,0,-1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
-467,-9,-4,-11,4,-4,-9,-1,-3,-15,-4,0,-11,-2,0,7,12,16,17,0,-3,-7,-6,-5,-13,5,-37,-10,-3,-1,-11,0,3,0,1,1,0,1,0,2,0,2,1,0,0,-1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1
-185,-2,7,5,4,-12,-5,1,2,-26,-2,0,1,-6,-4,1,-1,12,-9,3,-7,-3,0,1,7,3,-10,1,-2,1,-4,0,0,1,0,1,0,0,3,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,-1
185,2,-7,-5,-4,12,5,-1,-2,26,2,0,-1,6,4,-1,1,-12,9,-3,7,3,0,-1,-7,0,10,-1,2,0,4,2,0,-1,1,0,0,0,-3,0,0,-1,0,0,0,0,0,0,1,2,0,0,2,0,0,0,0,0,0,0,0,0,1
-282,0,-4,-11,4,-4,4,0,11,-27,-5,0,2,-4,-9,23,17,17,15,-4,6,-6,-6,8,-17,0,-13,-18,-6,0,-1,0,3,0,0,0,0,1,-1,1,0,6,-1,-1,0,1,1,0,0,1,-3,1,0,0,0,0,0,0,0,0,0,0,1
282,0,4,11,-4,4,-4,0,-11,27,5,0,-2,4,9,-23,-17,-17,-15,4,-6,6,6,-8,17,0,13,18,6,0,1,5,-3,0,0,0,1,0,1,0,0,0,1,1,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,-1
28,9,2,1,-5,6,-2,4,-3,-22,0,0,1,0,3,7,-3,10,8,5,-6,2,2,6,-9,-7,-1,-4,0,0,1,2,0,-2,0,-1,0,0,-2,-2,0,0,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,-1
-28,-9,-2,-1,5,-6,2,-4,3,22,0,1,-1,5,-3,-7,3,-10,-8,-5,6,-2,-2,-6,9,7,1,4,0,1,-1,-2,2,2,1,1,0,0,2,2,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-339,5,-11,-12,-16,11,11,-4,-5,-23,-4,0,-8,-5,-4,2,10,9,10,-3,-7,-3,0,-1,-19,3,-21,-12,-7,0,0,2,-2,-2,0,0,0,1,-2,4,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
339,-5,11,12,16,-11,-11,4,5,23,4,1,8,5,4,-2,-10,-9,-10,3,7,3,5,1,19,-3,21,12,7,1,7,0,2,2,0,2,0,0,2,0,0,1,-1,0,0,1,0,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1
-128,1,-7,2,-3,2,1,7,4,-33,0,0,-1,-6,-12,5,7,16,-1,-6,-11,-5,-3,-4,-5,-1,-4,-6,-5,1,-7,0,-2,-4,0,-1,0,0,-1,0,0,1,0,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,-1
128,-1,7,-2,3,-2,-1,-7,-4,33,0,1,1,6,12,-5,-7,-16,1,6,11,5,3,4,5,1,4,6,5,0,7,0,2,4,0,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-27,-1,-9,2,-13,2,4,4,-14,-2,3,0,-6,1,8,-1,6,5,7,-1,3,-10,0,1,-8,1,-14,-11,-1,1,-1,1,0,-1,0,1,0,0,7,1,0,4,1,-3,0,2,0,0,0,2,-3,1,1,0,0,0,0,0,0,0,0,0,1
27,1,9,-2,13,-2,-4,-4,14,2,-3,0,6,-1,-8,1,-6,-5,-7,1,-3,10,1,-1,8,-1,14,11,1,0,1,0,0,1,0,-1,0,0,-7,0,0,0,0,3,3,0,0,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,-1
-121,7,-7,-7,10,-10,5,-4,-5,1,0,0,6,3,6,-1,0,-17,-3,-2,0,7,4,2,-2,2,-4,11,-4,4,-11,0,-4,1,0,0,0,3,-7,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,-1
121,-7,7,7,-10,10,-5,4,5,-1,0,0,-6,-3,-6,1,0,17,3,2,7,-7,-4,-2,2,-2,4,-11,4,-4,11,3,4,-1,0,4,1,0,7,2,0,0,0,1,0,1,0,0,0,0,-3,1,0,0,0,0,0,0,0,0,0,0,-1
16,6,12,6,4,-4,-2,6,2,-7,-3,0,-4,0,6,5,-3,21,-2,3,-7,-1,-4,2,4,-3,2,-6,1,0,3,2,-1,1,0,0,0,0,0,0,0,0,0,2,0,-2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,-1
-16,-6,-12,-6,-4,4,2,-6,-2,7,3,2,4,10,-6,-5,3,-21,2,-3,7,1,4,-2,-4,3,-2,6,-1,2,-3,0,1,-1,0,0,2,1,1,1,0,1,0,-2,0,2,0,1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,1
355,7,13,-1,-11,1,1,-17,9,37,-1,0,11,2,-16,-29,-17,-25,-17,10,-1,6,2,2,5,0,8,18,11,1,3,4,0,-7,0,-3,2,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1
-355,-7,-13,1,11,-1,-1,17,-9,-37,1,0,-11,-2,16,29,17,25,17,-10,1,-6,-2,-2,-5,0,-8,-18,-11,-1,-3,-4,0,7,0,3,0,0,0,0,0,2,0,0,1,2,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,-1
-186,-5,3,-7,-6,-2,1,7,2,-12,-1,1,6,3,-6,14,2,-2,3,0,1,6,3,7,-14,1,1,7,4,2,0,0,3,1,1,-2,1,1,-11,0,0,0,0,-2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
186,5,-3,7,6,2,-1,-7,-2,12,1,0,-6,-3,6,-14,-2,2,-3,0,-1,-6,-3,-7,14,-1,-1,-7,-4,-2,0,1,0,-1,0,2,0,0,11,0,0,0,2,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
264,11,0,7,-10,7,-7,4,-1,16,10,0,2,3,2,-11,-6,-1,-23,5,6,13,3,-1,2,0,57,4,1,2,3,0,0,1,0,1,0,2,0,0,0,0,1,0,0,1,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,-1
-264,-11,0,-7,10,-7,7,-4,1,-16,-10,0,-2,-3,-2,11,6,1,23,-5,-6,-13,-3,1,-2,1,-57,-4,-1,0,-3,0,2,0,0,-1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,-1
-99,-8,-8,-3,3,-6,3,1,1,16,8,0,-2,0,-5,-2,3,-13,9,4,0,-4,-8,-12,14,1,-20,-9,-8,-1,-3,0,2,-1,0,3,0,0,0,0,0,0,1,0,0,2,0,0,0,0,4,0,0,0,0,1,0,0,0,0,0,0,-1
99,8,8,3,-3,6,-3,-1,-1,-16,-8,0,2,2,5,2,-3,13,-9,-4,0,4,8,12,-14,-1,20,9,8,1,3,0,-2,1,0,-3,0,0,0,0,0,0,-1,1,1,0,0,0,1,0,-4,0,0,0,0,0,0,1,0,0,0,0,-1
120,14,-1,-5,10,-16,-9,6,-3,-10,1,0,0,1,-4,-8,7,5,6,5,6,4,-3,0,-6,4,-3,-6,2,0,0,0,1,3,0,1,0,2,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1
-120,-14,1,5,-10,16,9,-6,3,10,-1,1,0,-1,4,8,-7,-5,-6,-5,-6,-4,3,0,6,-4,3,6,-2,0,3,3,-1,0,0,0,0,0,4,1,0,0,2,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1
-157,-5,-7,-11,-3,-3,-1,0,10,2,8,0,1,-6,-11,-11,5,-14,3,12,-1,-4,-5,-5,-3,3,-10,6,-5,1,-8,-2,4,-2,0,0,0,0,-1,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,-1
157,5,7,11,3,3,1,0,-10,-2,-8,1,-1,6,11,11,-5,14,-3,-12,1,4,5,5,3,-3,10,-6,5,-1,8,2,-4,2,2,1,4,1,1,0,0,2,-1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1
20,-1,2,-9,8,-7,1,-3,1,30,3,0,2,-3,-4,-13,-10,-17,1,1,-1,4,2,-3,13,-1,2,16,3,1,-1,2,2,4,0,-1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
-20,1,-2,9,-8,7,-1,3,-1,-30,-3,2,-2,3,4,13,10,17,-1,-1,1,-4,-2,3,-13,1,-2,-16,0,0,1,-2,-2,0,1,1,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
-173,-7,-11,-17,-2,1,0,13,-2,-27,-3,0,-8,-3,-12,16,21,21,23,-8,-4,-14,-9,-6,-11,2,-20,-8,3,-1,2,-1,5,-2,0,0,0,0,1,-1,0,1,-1,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,1
173,7,11,17,2,-1,0,-13,2,27,3,0,8,3,12,-16,-21,-21,-23,8,4,14,9,6,11,-2,20,8,0,1,-2,1,0,2,0,0,0,0,-1,1,0,0,1,0,0,1,0,0,1,0,-2,0,1,0,0,0,0,0,0,0,0,0,-1
0,8,11,-16,-1,3,-2,1,-6,12,1,1,1,6,14,-11,10,-8,8,11,1,0,-2,1,5,-1,9,0,3,4,3,-2,0,3,0,2,1,2,2,0,0,4,2,-2,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,1
0,-8,-11,16,1,-3,2,-1,6,-12,-1,0,-1,0,-14,11,-10,8,-8,-11,-1,0,2,-1,-5,1,-9,0,-3,-4,-3,2,2,-3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,-1
155,3,0,2,-4,4,0,-4,-1,17,4,0,0,4,1,-7,-1,-12,-9,1,3,3,6,-3,-4,0,6,-1,4,0,3,1,2,0,0,-2,1,0,1,3,0,1,0,0,0,0,1,1,0,0,0,3,0,0,0,0,0,0,0,0,1,0,1
-155,-3,0,-2,4,-4,0,4,1,-17,-4,0,0,-4,-1,7,1,12,9,-1,-3,-3,-6,3,4,3,-6,1,-4,0,-3,-1,0,0,0,2,0,0,-1,0,0,0,1,1,0,1,0,0,0,0,2,-3,1,0,0,0,0,0,1,0,0,0,-1
-360,11,-9,14,-4,6,10,0,-4,0,3,0,-5,-8,2,-4,3,-7,6,-6,-5,-1,-5,-2,-2,-1,-31,-7,-10,0,-9,0,-2,0,0,1,1,2,0,1,0,1,0,0,0,1,0,0,2,0,-1,1,0,0,0,1,0,0,0,0,0,0,-1
360,-11,9,-14,4,-6,-10,0,4,0,-3,2,5,8,-2,4,-3,7,-6,6,5,1,5,2,2,1,31,7,10,2,9,0,2,3,2,-1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1
-1,-7,-6,-5,7,-19,-4,-2,-5,-13,-3,0,-7,2,-11,-1,13,0,-3,-7,-1,2,0,2,-7,0,7,-10,0,0,10,-3,-2,12,0,-6,0,1,-5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,7,6,5,-7,19,4,2,5,13,3,0,7,-2,11,1,-13,0,3,7,1,-2,0,-2,7,0,-7,10,0,1,-10,3,2,-12,0,6,0,0,5,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-1
-220,-7,-2,3,-1,0,-11,4,-11,-17,-1,1,-3,-4,7,8,8,11,7,-2,-6,-4,-7,0,-12,1,7,-16,-1,0,0,1,2,3,0,-2,0,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
220,7,2,-3,1,0,11,-4,11,17,1,0,3,4,-7,-8,-8,-11,-7,2,6,4,7,0,12,0,-7,16,1,0,0,-1,0,-3,0,2,2,0,-1,2,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
146,4,-7,8,-1,-7,14,-7,-13,15,2,0,6,-3,10,-15,-1,-21,-10,-5,-2,-4,2,-3,10,0,2,-1,4,0,1,0,1,-1,0,4,3,0,0,0,0,0,3,-1,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,-1
-146,-4,7,-8,1,7,-14,7,13,-15,-2,0,-6,3,-10,15,1,21,10,5,2,4,-2,3,-10,3,-2,1,-4,2,-1,0,0,1,0,-4,0,1,0,0,0,0,0,1,0,1,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,1
122,-14,-8,8,-5,8,-5,-9,-2,2,0,0,-1,0,3,4,7,2,3,-8,4,-3,-3,2,-6,-1,8,-3,2,0,2,0,-2,6,0,5,0,0,3,1,0,0,-1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,-1
-122,14,8,-8,5,-8,5,9,2,-2,0,0,1,0,-3,-4,-7,-2,-3,8,-4,3,3,-2,6,1,-8,3,0,1,-2,4,2,-6,0,-5,0,0,-3,0,0,1,1,-1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1
273,-12,1,-7,0,0,-5,3,4,13,6,0,-2,0,-4,-10,0,-14,1,11,12,5,2,-7,-4,-4,-2,7,7,0,2,0,1,0,0,-5,0,0,-4,1,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1
-273,12,-1,7,0,0,5,-3,-4,-13,-6,1,2,0,4,10,0,14,-1,-11,-12,-5,-2,7,4,4,2,-7,0,0,-2,0,0,0,0,5,0,0,4,-1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
8,6,-11,0,-2,-5,6,-6,5,19,4,0,-4,2,-9,-15,-1,-35,-15,7,-3,1,4,-3,12,-1,-9,10,-4,-2,1,0,2,1,0,0,0,1,0,1,0,0,-1,-1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-1
-8,-6,11,0,2,5,-6,6,-5,-19,-4,0,4,-2,9,15,1,35,15,-7,3,-1,-4,3,-12,1,9,-10,4,2,-1,0,-2,-1,0,4,0,0,4,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
-72,-6,-5,1,9,-9,-4,-1,-2,-3,-4,0,2,-1,2,4,-5,-9,1,8,-1,-1,0,-3,1,-1,-15,6,-1,1,-4,0,1,4,0,-4,0,0,-3,0,0,1,2,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1
72,6,5,-1,-9,9,4,1,2,3,4,0,-2,1,-2,-4,5,9,-1,-8,1,1,0,3,-1,1,15,-6,1,-1,4,0,-1,-4,0,4,0,2,3,3,0,0,0,-4,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1
